,Temperature,CPU_Usage,RAM_Usage,Freq_MHz,GPU_Temp,Fan_Speed,Disk_IO,Label
count,789.0,789.0,789.0,789.0,789.0,789.0,789.0,789.0
mean,24.251634980988605,79.64651457541193,77.6513307984791,1592.0963244613436,40.01982256020279,1148.4157160963246,473095.19884310145,0.09125475285171103
std,22.722244277663243,21.050469414780085,13.111531092599755,799.2133796695464,32.82321235046942,834.2072132729066,277394.2673478161,0.28815371011517993
min,0.0500000000000113,18.5,37.6,800.0,0.0,900.0,15637.63671875,0.0
25%,0.0500000000000113,66.1,67.6,800.0,0.0,900.0,234784.79541015625,0.0
50%,30.05000000000001,84.8,84.6,1506.0,55.0,900.0,700018.9296875,0.0
75%,30.05000000000001,99.9,88.9,2511.0,71.0,900.0,732769.4672851562,0.0
max,91.0,100.0,95.6,2511.0,91.0,4800.0,742746.166015625,1.0
